,HF,H1N,H1P,H2N,H2P,H3N,H3P,H4N,H4P,H5N,H5P,H6N,H6P,H7N,H7P,H8N,H8P,H9N,H9P,H10N,H10P,H11N,H11P,AF,F1N,F1P,F2N,F2P,F3N,F3P,F4N,F4P,F5N,F5P,F6N,F6P,F7N,F7P,F8N,F8P,F9N,F9P,F10N,F10P,F11N,F11P,HS,AS,result
92,3-4-1-2,7,FW,29,FW,12,AM,18,DM,19,DM,14,WB,2,WB,5,CB,20,CB,6,CB,1,GK,3-5-2,14,FW,9,FW,4,CM,8,CM,16,DM,13,WB,2,WB,29,CB,12,CB,6,CB,1,GK,1,0,home
93,4-4-2,10,FW,32,FW,12,LM,17,RM,6,DM,8,DM,3,LB,4,CB,35,CB,2,RB,1,GK,4-4-2◆,10,FW,11,FW,18,AM,34,CM,17,CM,31,DM,27,LB,5,CB,2,CB,29,RB,1,GK,2,3,away
94,4-3-3,9,FW,11,LW,22,RW,19,CM,17,CM,7,DM,21,LB,6,CB,15,CB,24,RB,16,GK,4-2-3-1,10,FW,23,LW,7,RW,28,AM,5,DM,17,DM,3,LB,15,CB,14,CB,24,RB,1,GK,0,0,draw
95,4-2-3-1,14,FW,7,LW,12,RW,28,AM,34,DM,8,DM,3,LB,6,CB,23,CB,2,RB,1,GK,4-2-3-1,9,FW,7,LW,37,RW,10,AM,28,DM,32,DM,5,LB,16,CB,15,CB,22,RB,11,GK,1,2,away
96,3-4-3,9,FW,10,AM,26,AM,24,DM,8,DM,33,WB,2,WB,28,CB,6,CB,3,CB,1,GK,3-4-3,17,FW,19,LW,15,RW,29,CM,21,CM,33,WB,14,WB,16,CB,5,CB,34,CB,1,GK,1,2,away
97,3-4-3,30,FW,18,AM,20,AM,28,DM,41,DM,26,WB,5,WB,3,LB,21,CB,4,CB,1,GK,4-3-3,11,FW,10,LW,17,RW,14,CM,7,CM,6,DM,18,LB,5,CB,4,CB,2,RB,26,GK,2,1,home
98,4-4-2,19,FW,9,FW,11,LM,12,RM,8,DM,18,DM,3,LB,6,CB,5,CB,2,RB,1,GK,3-4-3,9,FW,7,LW,19,RW,6,DM,16,CM,8,WB,17,RB,5,CB,13,CB,22,LB,1,GK,1,1,draw
99,4-2-3-1,9,FW,7,LW,26,RW,17,AM,8,DM,16,DM,22,LB,3,CB,5,CB,27,RB,31,GK,3-4-1-2,17,FW,19,FW,15,AM,21,DM,29,DM,33,WB,14,WB,16,CB,5,CB,34,CB,1,GK,2,0,home
100,3-4-3,22,FW,18,AM,20,AM,28,DM,41,DM,26,WB,5,WB,3,CB,21,CB,4,CB,1,GK,4-2-3-1,7,FW,9,LW,11,RW,34,AM,6,DM,39,DM,27,LB,5,CB,2,CB,29,RB,26,GK,1,3,away
101,4-3-3,18,FW,11,LW,22,RW,19,CM,29,CM,7,DM,21,LB,6,CB,15,CB,24,RB,16,GK,4-4-1-1,9,FW,43,AM,22,LM,23,CM,15,CM,18,RM,10,LB,6,CB,5,CB,2,RB,1,GK,3,1,home
102,3-4-1-2,29,FW,11,FW,12,AM,18,CM,19,CM,10,WB,2,WB,5,CB,20,CB,6,CB,1,GK,4-4-2,11,FW,20,FW,25,LM,15,RM,18,DM,4,DM,3,LB,24,CB,8,CB,17,RB,31,GK,1,5,away
103,3-5-2,9,FW,14,FW,4,CM,7,CM,8,DM,13,WB,2,WB,29,CB,12,CB,6,CB,1,GK,3-4-3,9,FW,10,LW,17,RW,24,DM,8,DM,2,WB,11,WB,28,CB,6,CB,3,CB,1,GK,1,2,away
104,4-2-3-1,10,FW,7,LW,23,RW,18,AM,5,DM,17,DM,3,LB,15,CB,4,CB,24,RB,1,GK,4-4-2,14,FW,9,FW,7,LM,12,RM,34,DM,18,DM,3,LB,6,CB,16,CB,2,RB,1,GK,2,0,home
105,4-3-3,9,FW,10,LW,11,RW,5,CM,17,CM,14,DM,26,LB,3,CB,32,CB,76,RB,62,GK,4-3-3,10,FW,7,LW,37,RW,8,CM,32,CM,28,DM,5,LB,16,CB,15,CB,22,RB,11,GK,4,0,home
106,3-4-1-2,18,FW,7,FW,13,AM,8,DM,3,DM,20,WB,2,WB,4,CB,5,CB,34,CB,1,GK,4-4-2,10,FW,32,FW,12,LM,17,RM,6,DM,8,DM,3,LB,4,CB,35,CB,2,RB,1,GK,1,2,away
107,4-1-4-1,9,FW,22,LM,43,CM,20,CM,18,RM,23,DM,10,LB,6,CB,2,CB,15,RB,1,GK,4-2-3-1,22,FW,18,LW,20,RW,9,AM,28,CM,41,CM,3,LB,21,CB,4,CB,5,RB,1,GK,1,2,away
108,4-2-3-1,17,FW,7,LW,37,RW,10,AM,28,DM,32,DM,5,LB,27,CB,16,CB,22,RB,11,GK,4-3-3,11,FW,10,LW,15,RW,7,CM,41,CM,6,DM,18,LB,5,CB,4,CB,2,RB,26,GK,0,1,away
109,4-4-2,9,FW,13,FW,11,LM,24,RM,8,DM,36,DM,15,LB,2,CB,14,CB,17,RB,26,GK,3-4-1-2,29,FW,7,FW,17,AM,19,DM,18,DM,10,WB,2,WB,27,CB,20,CB,6,CB,1,GK,2,1,home
110,4-2-3-1◆,10,FW,6,LW,11,RW,18,AM,17,DM,39,DM,23,LB,5,CB,2,CB,29,RB,1,GK,4-2-3-1,9,FW,7,LW,26,RW,17,AM,25,CM,16,CM,27,LB,3,CB,5,CB,2,RB,31,GK,0,0,draw
111,4-3-3,9,FW,7,LW,17,RW,10,CM,16,CM,6,DM,22,LB,5,CB,13,CB,4,RB,1,GK,4-3-3,18,FW,11,LW,29,RW,19,CM,17,CM,7,DM,21,LB,6,CB,15,CB,24,RB,16,GK,1,0,home
112,4-4-2,10,FW,9,FW,32,LM,17,RM,6,DM,8,DM,3,LB,4,CB,35,CB,2,RB,1,GK,3-5-2,10,FW,9,FW,4,CM,8,CM,22,DM,3,WB,2,WB,15,CB,12,CB,6,CB,1,GK,3,0,home
113,4-4-2,11,FW,20,FW,25,LM,15,RM,18,DM,4,DM,3,LB,24,CB,8,CB,17,RB,31,GK,4-2-3-1,10,FW,7,LW,23,RW,28,AM,5,DM,17,DM,3,LB,15,CB,4,CB,24,RB,1,GK,1,1,draw
114,3-4-3,17,FW,19,LW,15,RW,18,DM,29,DM,33,WB,14,WB,16,CB,5,CB,34,CB,1,GK,4-3-3,9,FW,10,LW,11,RW,5,CM,17,CM,14,DM,26,LB,3,CB,32,CB,66,RB,1,GK,1,1,draw
115,4-2-3-1,14,FW,7,LW,12,RW,9,AM,34,DM,25,DM,3,LB,6,CB,16,CB,2,RB,1,GK,4-4-1-1,9,FW,19,AM,11,LM,12,RM,8,DM,18,DM,3,LB,6,CB,5,CB,2,RB,1,GK,0,1,away
116,3-4-3,9,FW,10,AM,17,AM,8,DM,25,DM,2,WB,11,WB,28,CB,6,CB,3,CB,1,GK,4-2-3-1,18,FW,20,LW,16,RW,9,AM,8,DM,13,DM,33,LB,5,CB,3,CB,34,RB,1,GK,3,0,home
117,3-4-1-2,7,FW,17,FW,10,AM,8,DM,32,DM,5,WB,22,WB,27,CB,16,CB,15,CB,11,GK,4-3-3,18,FW,10,LW,11,RW,19,CM,29,CM,7,DM,21,LB,6,CB,15,CB,24,RB,16,GK,2,1,home
118,4-2-3-1,9,FW,47,LW,7,RW,17,AM,8,DM,16,DM,22,LB,6,CB,3,CB,27,RB,31,GK,4-1-4-1,29,FW,11,LM,18,CM,8,CM,10,RM,19,DM,3,LB,27,CB,6,CB,2,RB,1,GK,1,1,draw
119,3-4-3,30,FW,14,LW,19,RW,8,DM,25,DM,7,WB,15,WB,3,CB,6,CB,16,CB,1,GK,4-4-2,10,FW,9,FW,32,LM,17,RM,6,DM,8,DM,3,LB,4,CB,35,CB,2,RB,1,GK,1,1,draw
120,4-2-3-1,9,FW,15,LW,19,RW,10,AM,24,DM,8,DM,28,LB,25,CB,3,CB,2,RB,1,GK,4-3-3,9,FW,7,LW,17,RW,16,CM,10,CM,6,DM,22,LB,5,CB,13,CB,4,RB,33,GK,0,2,away
121,4-1-4-1,9,FW,22,LM,43,CM,20,CM,18,RM,23,DM,10,LB,6,CB,2,CB,15,RB,1,GK,4-4-2,9,FW,13,FW,21,LM,14,CM,36,CM,16,RM,15,LB,2,CB,18,CB,23,RB,26,GK,5,2,home
122,4-2-3-1,22,FW,18,LW,20,RW,9,LW,28,DM,41,DM,3,LB,21,CB,23,CB,5,RB,1,GK,4-4-2,11,FW,20,FW,25,LM,18,CM,4,CM,10,RM,3,LB,6,CB,8,CB,2,RB,31,GK,1,1,draw
123,3-4-3,17,FW,19,LW,15,RW,21,CM,29,CM,33,WB,14,WB,16,CB,5,CB,34,CB,1,GK,3-4-3,18,FW,11,LW,14,RW,17,DM,8,DM,20,WB,2,WB,4,CB,5,CB,3,CB,26,GK,0,0,draw
124,4-3-3,9,FW,10,LW,11,RW,5,CM,17,CM,14,DM,26,LB,3,CB,46,CB,66,RB,1,GK,4-4-2,7,FW,10,FW,23,LM,18,CM,5,CM,17,RM,33,LB,15,CB,4,CB,24,RB,1,GK,2,1,home
125,4-2-3-1,11,FW,21,LW,15,RW,10,AM,19,CM,7,CM,18,LB,5,CB,30,CB,27,RB,26,GK,4-4-2,19,FW,9,FW,11,LM,12,RM,8,DM,18,DM,3,LB,6,CB,5,CB,2,RB,1,GK,0,0,draw
126,3-5-2,17,FW,14,FW,4,CM,8,CM,22,DM,3,WB,2,WB,19,CB,12,CB,6,CB,1,GK,4-2-3-1,9,FW,10,LW,11,RW,18,AM,6,CM,31,DM,27,LB,5,CB,2,CB,29,RB,26,GK,2,3,away
127,4-4-2,9,FW,11,FW,25,LM,15,RM,18,DM,4,DM,3,LB,24,CB,8,CB,17,RB,31,GK,4-3-3,9,FW,18,LW,10,RW,5,CM,8,CM,14,DM,26,LB,3,CB,32,CB,66,RB,1,GK,0,7,away
128,4-4-2,10,FW,9,FW,12,LM,6,CM,8,CM,32,RM,3,LB,4,CB,35,CB,2,RB,1,GK,4-2-3-1,21,FW,7,LW,20,RW,17,FW,16,CM,8,CM,27,LB,3,CB,5,CB,2,RB,31,GK,0,1,away
129,4-2-3-1,9,FW,7,LW,17,RW,10,AM,26,DM,16,DM,22,LB,5,CB,13,CB,4,RB,1,GK,3-4-3,30,FW,12,LW,19,RW,25,CM,8,CM,7,WB,15,WB,3,CB,23,CB,16,CB,1,GK,2,1,home
130,4-4-2,9,FW,13,FW,24,LM,36,CM,8,CM,11,RM,3,LB,2,CB,18,CB,22,RB,26,GK,4-2-3-1,9,FW,19,LW,14,RW,10,AM,18,DM,29,DM,33,LB,16,CB,5,CB,34,RB,1,GK,1,1,draw
131,3-4-3,7,FW,9,AM,11,AM,14,DM,8,DM,20,WB,34,WB,4,CB,5,CB,3,CB,26,GK,3-5-2,17,FW,24,FW,4,CM,7,AM,22,DM,3,LB,2,RB,19,CB,12,CB,6,DM,1,GK,1,1,draw
132,4-2-3-1,10,FW,7,LW,18,RW,28,AM,5,DM,17,DM,3,LB,15,CB,4,CB,24,RB,1,GK,4-2-3-1,9,FW,15,LW,11,RW,10,AM,8,DM,25,DM,27,LB,6,CB,3,CB,2,RB,1,GK,0,2,away
133,4-2-3-1,9,FW,10,LW,21,RW,18,AM,17,DM,39,DM,23,LB,5,CB,2,CB,29,RB,1,GK,4-1-4-1,9,FW,22,RM,43,CM,20,CM,18,RM,23,DM,10,LB,6,CB,2,CB,15,RB,1,GK,6,2,home
134,4-1-4-1,29,FW,11,LM,18,CM,8,CM,10,RM,19,DM,3,LB,27,CB,6,CB,2,RB,1,GK,4-2-3-1,11,FW,21,LW,15,RW,10,AM,7,DM,6,DM,18,LB,5,CB,30,CB,2,RB,26,GK,0,3,away
135,4-4-2,10,FW,9,FW,11,LM,12,RM,8,DM,18,DM,3,LB,6,CB,5,CB,2,RB,1,GK,3-4-1-2,10,FW,7,FW,54,AM,28,DM,8,DM,3,WB,22,WB,27,CB,16,CB,49,CB,11,GK,2,1,home
136,4-3-3,9,FW,11,LW,10,RW,19,CM,7,CM,5,DM,21,LB,6,CB,15,CB,28,RB,16,GK,4-2-3-1,22,FW,18,LW,20,RW,16,AM,41,CM,28,CM,3,LB,21,CB,4,CB,5,RB,1,GK,3,0,home
137,4-2-3-1,9,FW,15,LW,11,RW,10,AM,8,DM,25,DM,27,LB,6,CB,3,CB,2,RB,1,GK,4-2-3-1,9,FW,10,LW,21,RW,18,AM,17,CM,39,CM,23,LB,5,CB,3,CB,2,RB,1,GK,2,2,draw
138,3-5-2,19,FW,17,FW,29,CM,15,CM,21,DM,33,WB,14,WB,16,CB,5,CB,34,CB,1,GK,4-4-2,7,FW,10,FW,32,LM,17,RM,27,DM,8,DM,3,LB,5,CB,35,CB,2,RB,1,GK,0,0,draw
139,4-2-3-1,11,FW,21,LW,15,RW,10,LW,7,DM,6,DM,18,LB,5,AM,30,CB,2,RB,26,GK,4-4-2,20,FW,11,FW,25,LM,18,CM,4,CM,15,RM,3,LB,6,CB,8,CB,2,RB,31,GK,3,0,home
140,4-2-3-1,9,FW,35,LW,7,RW,32,AM,34,DM,25,DM,3,LB,22,CB,16,CB,2,RB,1,GK,4-3-3,9,FW,11,LW,10,RW,19,CM,17,CM,7,DM,21,LB,6,CB,15,CB,24,RB,16,GK,3,1,home
141,3-4-3,14,FW,24,LW,17,RW,23,DM,22,DM,3,WB,2,WB,19,CB,12,CB,6,CB,1,GK,4-2-3-1,9,FW,24,LW,17,RW,10,AM,26,DM,16,DM,22,LB,5,CB,13,CB,4,RB,1,GK,0,1,away
142,4-3-3◆,21,FW,20,RW,7,LW,8,CM,17,CM,16,DM,6,LB,3,CB,5,CB,27,RB,31,GK,3-4-3,9,FW,24,LW,23,RW,4,DM,14,DM,11,WB,22,WB,2,CB,5,CB,18,CB,26,GK,2,0,home
143,3-5-1-1,9,FW,20,AM,22,CM,18,CM,43,DM,10,WB,15,WB,21,CB,23,CB,2,CB,1,GK,4-4-2,10,FW,9,FW,23,LM,41,RM,18,DM,8,DM,3,LB,6,CB,5,CB,2,RB,1,GK,1,0,home
144,3-4-1-2,22,FW,20,FW,16,AM,41,DM,28,DM,31,WB,5,WB,3,CB,21,CB,4,CB,1,GK,3-4-3,18,FW,9,AM,11,AM,14,DM,8,DM,20,WB,3,WB,33,CB,5,CB,4,CB,26,GK,2,2,draw
145,4-3-3,9,FW,10,LW,11,RW,5,CM,17,CM,14,DM,26,LB,3,CB,32,CB,66,RB,1,GK,4-5-1,29,FW,11,LM,18,CM,10,CM,7,RM,19,DM,3,LB,27,CB,6,CB,2,RB,1,GK,1,1,draw
146,4-2-3-1,17,FW,7,LW,37,RW,10,AM,28,DM,8,DM,5,LB,27,CB,16,CB,22,RB,11,GK,3-4-1-2,7,FW,10,FW,28,AM,5,CM,8,CM,3,WB,2,WB,33,CB,15,CB,6,CB,1,GK,1,1,draw
147,4-4-2,11,FW,20,FW,15,LM,10,RM,4,DM,44,DM,27,LB,8,CB,5,CB,17,RB,31,GK,4-2-3-1,14,FW,15,LW,17,RW,26,AM,24,DM,20,DM,33,LB,6,CB,18,CB,2,RB,1,GK,1,1,draw
148,4-3-3,18,FW,10,LW,20,RW,19,CM,7,CM,5,DM,21,LB,2,CB,4,CB,28,RB,16,GK,4-2-3-1,11,FW,21,LW,15,RW,10,AM,7,CM,6,CM,18,LB,30,CB,4,CB,2,RB,26,GK,1,1,draw
149,4-4-2,10,FW,9,FW,12,LM,6,CM,8,CM,32,RM,3,LB,5,CB,35,CB,2,RB,1,GK,4-5-1,22,FW,18,LM,28,CM,10,CM,7,RM,41,DM,3,LB,21,CB,15,CB,24,RB,1,GK,0,0,draw
150,4-1-4-1,29,FW,11,LM,18,CM,10,CM,7,RM,19,DM,22,LB,27,CB,6,CB,2,RB,1,GK,4-1-4-1,9,FW,22,LM,43,CM,20,CM,18,RM,23,DM,10,LB,21,CB,2,CB,15,RB,1,GK,0,5,away
151,4-4-2,10,FW,16,FW,30,LM,24,RM,13,DM,8,DM,33,LB,5,CB,4,CB,34,RB,26,GK,4-2-3-1,14,FW,35,LW,7,RW,32,AM,34,CM,25,CM,3,LB,22,CB,16,CB,2,RB,1,GK,0,1,away
152,4-4-2,10,FW,9,FW,23,LB,18,CM,8,CM,12,LM,3,LB,6,CB,5,CB,2,RB,1,GK,3-4-3,11,FW,24,LW,17,RW,23,DM,22,DM,3,WB,2,WB,19,CB,12,CB,6,CB,1,GK,1,0,home
153,4-2-3-1,7,FW,10,LW,11,RW,18,AM,31,CM,6,CM,27,LB,5,CB,3,CB,29,RB,1,GK,3-5-2,7,FW,37,FW,28,CM,8,CM,20,DM,3,WB,2,WB,49,CB,27,CB,16,CB,11,GK,1,0,home
154,3-4-3,13,FW,9,AM,23,AM,4,CM,14,CM,11,WB,22,WB,2,CB,5,CB,18,CB,26,GK,4-3-3,9,FW,10,LW,11,RW,7,CM,17,CM,14,DM,26,LB,3,CB,47,CB,66,RB,1,GK,0,0,draw
155,4-2-3-1,9,FW,7,LW,20,RW,10,AM,26,DM,16,DM,22,LB,4,CB,13,CB,23,RB,1,GK,4-2-3-1,22,FW,18,LW,20,RW,9,AM,28,CM,41,CM,3,LB,21,CB,15,CB,5,RB,35,GK,0,1,away
156,4-4-2◆,9,FW,10,FW,18,AM,6,CM,39,CM,17,DM,23,LB,5,CB,3,CB,29,RB,1,GK,4-2-3-1,11,FW,21,LW,15,RW,10,AM,6,DM,7,DM,18,LB,5,CB,4,CB,2,RB,26,GK,2,1,home
157,4-2-3-1,10,FW,7,LW,23,RW,28,AM,5,CM,8,CM,33,LB,15,CB,4,CB,2,RB,1,GK,4-1-4-1,9,FW,22,LM,43,CM,20,CM,18,RM,23,DM,10,LB,21,CB,2,CB,15,RB,1,GK,3,0,home
158,4-4-2,11,FW,20,FW,15,LM,10,RM,4,DM,18,DM,27,LB,8,CB,5,CB,2,RB,31,GK,3-5-2,11,FW,17,FW,4,CM,6,CM,16,DM,23,WB,20,WB,3,CB,12,CB,22,CB,1,GK,2,0,home
159,3-4-3,7,FW,9,LW,11,RW,8,DM,3,DM,20,WB,34,WB,33,CB,5,CB,4,CB,26,GK,4-2-3-1,17,FW,7,LW,37,RW,20,AM,8,DM,28,DM,3,LB,27,CB,16,CB,22,RB,11,GK,3,3,draw
160,4-4-1-1,7,FW,12,AM,11,LM,10,RM,18,DM,19,DM,27,LB,20,CB,6,CB,2,RB,1,GK,4-2-3-1,9,FW,14,LW,7,RW,32,AM,34,CM,8,CM,3,LB,22,CB,16,CB,2,RB,1,GK,0,4,away
161,3-4-3,13,FW,9,LW,24,RW,4,DM,36,DM,11,WB,22,WB,2,CB,5,CB,18,CB,26,GK,4-2-3-1,9,FW,15,LW,11,RW,10,AM,8,DM,25,DM,27,LB,6,CB,3,CB,2,RB,1,GK,1,2,away
162,4-3-3,11,FW,10,LW,22,RW,19,CM,17,CM,7,DM,21,LB,6,CB,15,CB,28,RB,16,GK,4-2-3-1,7,FW,47,LW,20,RW,17,AM,16,DM,8,DM,11,LB,3,CB,5,CB,27,RB,13,GK,1,3,away
163,4-4-2,32,LM,9,FW,12,LM,17,RM,8,DM,27,DM,3,LB,5,CB,35,CB,2,RB,44,GK,4-3-3,9,FW,10,LW,11,RW,5,CM,15,CM,6,DM,26,LB,3,CB,14,CB,66,RB,1,GK,1,0,home
164,3-5-2,14,FW,17,FW,4,CM,7,CM,16,DM,23,WB,20,WB,22,CB,12,CB,6,CB,1,GK,3-4-3,13,FW,21,LW,36,RW,16,CM,14,CM,3,WB,22,WB,2,CB,5,CB,18,CB,26,GK,1,0,home
165,4-4-2,10,FW,9,FW,12,LM,7,RM,8,DM,18,DM,23,LB,6,CB,5,CB,2,RB,1,GK,4-2-3-1,7,FW,9,LW,10,RW,18,AM,31,CM,6,CM,23,LB,5,CB,3,CB,29,RB,1,GK,0,1,away
166,4-3-3,18,FW,17,LW,7,RW,28,CM,32,CM,8,DM,3,LB,27,CB,16,CB,22,RB,11,GK,4-4-2,10,FW,19,FW,12,LM,17,RM,26,DM,16,DM,22,LB,5,CB,13,CB,4,RB,1,GK,1,2,away
167,4-3-3,20,FW,47,LW,26,RW,8,CM,17,CM,16,DM,11,LB,3,CB,5,CB,27,RB,31,GK,3-4-3,10,FW,11,LW,22,RW,3,CM,24,CM,30,WB,34,WB,33,CB,5,CB,4,CB,26,GK,1,0,home
168,4-2-3-1,10,FW,7,LW,17,RW,28,AM,8,DM,5,DM,3,LB,15,CB,6,CB,24,RB,1,GK,3-4-3,15,FW,17,LW,14,RW,29,CM,21,CM,33,WB,2,WB,16,CB,5,CB,34,CB,1,GK,1,1,draw
169,4-2-3-1,9,FW,14,LW,7,RW,32,AM,34,DM,8,DM,15,LB,23,CB,16,CB,2,RB,1,GK,4-4-2,11,FW,20,FW,25,LM,10,RM,4,DM,18,DM,27,LB,8,CB,5,CB,2,RB,31,GK,0,0,draw
170,4-3-3,17,FW,7,LW,37,RW,28,CM,32,CM,8,DM,27,LB,16,CB,15,CB,22,RB,11,GK,4-2-3-1,7,FW,13,LW,23,RW,12,AM,19,DM,8,DM,3,LB,5,CB,6,CB,27,RB,25,GK,2,3,away
171,4-5-1,9,FW,18,LM,43,CM,20,CM,22,RM,21,DM,10,LB,6,CB,2,CB,15,RB,13,GK,3-4-3,9,FW,10,AM,11,AM,13,DM,3,DM,20,WB,34,WB,33,CB,5,CB,4,CB,26,GK,0,1,away
172,4-2-3-1,30,FW,18,LW,20,RW,9,AM,41,DM,28,DM,3,LB,21,CB,15,CB,5,RB,1,GK,4-4-2,10,FW,9,FW,12,LM,7,RM,8,DM,18,DM,23,LB,6,CB,5,CB,2,RB,1,GK,1,0,home
173,3-5-2,19,FW,17,FW,29,CM,14,CM,21,DM,33,WB,2,WB,16,CB,5,CB,34,CB,1,GK,4-3-3,18,FW,10,LW,22,RW,19,CM,17,CM,5,DM,21,LB,2,CB,6,CB,28,RB,16,GK,0,1,away
174,4-2-3-1,9,FW,15,LW,11,RW,10,AM,8,DM,25,DM,2,LB,6,CB,3,CB,27,RB,1,GK,4-4-2,10,FW,32,FW,20,LM,17,RM,8,DM,27,DM,3,LB,5,CB,35,CB,2,RB,1,GK,2,0,home
175,3-5-2,14,FW,17,FW,4,CM,7,CM,16,DM,3,WB,20,WB,22,CB,12,CB,6,CB,1,GK,3-4-3,10,FW,7,LW,23,RW,5,DM,28,DM,3,WB,24,WB,33,CB,15,CB,14,CB,1,GK,1,3,away
176,4-3-3,9,FW,10,LW,11,RW,5,CM,23,CM,6,DM,26,LB,14,CB,3,CB,66,RB,1,GK,4-2-3-1,10,FW,9,LW,6,RW,18,AM,17,CM,39,CM,23,LB,5,CB,2,CB,29,RB,1,GK,0,0,draw
177,4-3-3,9,FW,7,LW,20,RW,8,CM,17,CM,25,DM,11,LB,3,CB,5,CB,2,RB,31,GK,4-1-4-1,9,FW,25,LM,18,CM,22,CM,10,RM,4,DM,27,LB,24,CB,5,CB,2,RB,31,GK,4,0,home
178,4-2-3-1,9,FW,14,LW,7,RW,32,AM,34,DM,18,DM,3,LB,23,CB,16,CB,17,RB,1,GK,4-4-2,7,FW,13,FW,9,LM,24,RM,8,DM,4,DM,15,LB,2,CB,6,CB,17,RB,26,GK,3,0,home
179,4-2-3-1,30,FW,9,LW,20,RW,10,AM,41,DM,28,DM,3,LB,21,CB,15,CB,5,RB,1,GK,4-4-1-1,7,FW,12,AM,13,LM,18,RM,19,DM,8,DM,3,LB,5,CB,6,CB,27,RB,1,GK,2,1,home
180,4-1-4-1,9,FW,15,LM,10,CM,8,CM,11,RM,25,DM,2,LB,6,CB,3,CB,27,RB,1,GK,4-3-3,9,FW,10,LW,20,RW,19,CM,29,CM,17,DM,21,LB,6,CB,2,CB,24,RB,16,GK,2,0,home
181,4-3-3,20,FW,47,LW,7,RW,8,CM,17,CM,16,DM,27,RB,3,CB,5,CB,2,RB,31,GK,4-2-3-1,11,FW,10,LW,15,RW,20,AM,7,DM,6,DM,18,LB,5,CB,4,CB,2,RB,26,GK,2,0,home
182,3-4-3,19,FW,17,AM,15,AM,21,DM,29,DM,23,WB,2,WB,16,CB,5,CB,34,CB,1,GK,4-2-3-1,7,FW,9,LW,11,RW,18,AM,17,DM,6,DM,23,LB,5,CB,3,CB,29,RB,1,GK,1,2,away
183,4-3-3,27,FW,10,LW,15,RW,5,CM,23,CM,6,DM,26,LB,3,CB,32,CB,66,RB,1,GK,4-4-2,10,FW,9,FW,11,LM,12,RM,8,DM,18,DM,3,LB,6,CB,5,CB,2,RB,1,GK,0,1,away
184,4-2-3-1,11,FW,10,LW,15,RW,20,AM,19,DM,6,DM,18,LB,5,CB,4,CB,2,RB,26,GK,3-5-2,13,FW,7,FW,24,CM,8,CM,16,DM,15,WB,19,WB,5,CB,6,CB,14,CB,26,GK,2,0,home
185,4-4-1-1,13,FW,21,AM,24,LM,23,RM,16,DM,8,DM,15,LB,5,CB,6,CB,14,RB,26,GK,4-1-4-1,9,FW,22,LM,20,CM,15,CM,18,RM,23,DM,10,LB,6,CB,14,CB,2,RB,1,GK,1,2,away
186,4-4-2,11,FW,20,FW,25,LM,4,CM,18,CM,10,RM,27,LB,24,CB,8,CB,2,RB,31,GK,4-2-3-1,30,FW,18,LW,20,RW,9,AM,41,DM,28,DM,3,LB,21,CB,15,CB,5,RB,1,GK,2,3,away
187,4-4-1-1,7,FW,12,AM,29,LM,23,RM,19,DM,8,DM,3,WB,27,CB,6,CB,2,WB,1,GK,4-3-3,26,FW,47,LW,7,RW,8,CM,20,CM,16,DM,11,LB,3,CB,5,CB,27,RB,31,GK,0,5,away
188,4-4-2,9,FW,10,FW,17,LM,32,RM,8,DM,27,DM,29,LB,5,CB,35,CB,18,RB,1,GK,4-2-3-1,9,FW,19,LW,7,RW,32,AM,34,DM,18,DM,17,LB,23,CB,16,CB,2,RB,1,GK,1,3,away
189,4-4-2,9,FW,19,FW,11,LM,12,RM,8,DM,18,DM,23,LB,6,CB,5,CB,2,RB,1,GK,4-2-3-1,11,FW,10,LW,15,RW,20,AM,7,DM,6,DM,18,LB,5,CB,4,CB,2,RB,26,GK,3,2,home
190,4-2-3-1,18,FW,29,LW,20,RW,22,AM,17,DM,5,DM,21,LB,2,CB,6,CB,28,RB,16,GK,3-4-1-2,7,FW,37,FW,10,AM,32,DM,8,DM,3,WB,22,WB,49,CB,16,CB,15,CB,11,GK,0,0,draw
191,3-5-2,11,FW,9,FW,10,CM,13,CM,8,DM,20,WB,34,WB,4,CB,5,CB,3,CB,26,GK,3-4-3,17,FW,19,LW,15,RW,21,DM,29,DM,14,WB,2,WB,16,CB,5,CB,34,CB,1,GK,0,0,draw
192,4-2-3-1,9,FW,10,LW,11,RW,18,AM,31,DM,6,DM,27,LB,5,CB,38,CB,29,RB,1,GK,3-5-2,10,FW,17,FW,4,CM,7,CM,16,DM,29,WB,2,WB,22,CB,15,CB,6,CB,1,GK,1,2,away
193,4-4-2,9,FW,19,FW,12,LM,7,RM,21,DM,26,DM,22,LB,5,CB,13,CB,4,RB,1,GK,4-2-3-1,17,FW,15,LW,11,RW,10,AM,8,DM,25,DM,2,LB,6,CB,3,CB,27,RB,1,GK,1,1,draw
194,3-4-3,10,FW,7,LW,23,RW,28,DM,5,DM,2,WB,24,WB,33,CB,15,CB,14,CB,1,GK,4-3-3,9,FW,10,LW,11,RW,7,CM,6,CM,5,DM,26,LB,14,CB,32,CB,66,RB,1,GK,1,3,away
195,4-2-3-1,9,FW,7,LW,17,RW,19,AM,10,CM,16,CM,12,LB,5,CB,13,CB,23,RB,1,GK,4-4-2◆,21,FW,13,FW,24,AM,8,CM,16,CM,14,DM,15,LB,5,CB,6,CB,19,RB,26,GK,0,2,away
