H,HF,H1N,H1P,H2N,H2P,H3N,H3P,H4N,H4P,H5N,H5P,H6N,H6P,H7N,H7P,H8N,H8P,H9N,H9P,H10N,H10P,H11N,H11P,A,AF,A1N,A1P,A2N,A2P,A3N,A3P,A4N,A4P,A5N,A5P,A6N,A6P,A7N,A7P,A8N,A8P,A9N,A9P,A10N,A10P,A11N,A11P,HS,AS,result
Brighton & Hove Albion,3-4-1-2,7,ST,18,ST,9,CAM,8,CM,13,CM,20,LWB,34,LWB,4,CB,5,CB,3,CB,1,GK,Liverpool,4-3-3,9,ST,20,LW,11,RW,7,CM,18,CM,5,CM,26,LB,3,CB,47,CB,76,RB,1,GK,1,1,draw
Manchester City,4-2-3-1,9,ST,21,LW,26,RW,17,CAM,8,CM,16,CM,22,LB,3,CB,5,CB,2,RB,31,GK,Burnley,4-4-1-1,9,ST,11,CAM,10,LM,41,CM,18,CM,19,RM,3,LB,6,CB,5,CB,2,RB,15,GK,5,0,home
Everton,3-4-3,9,ST,7,CAM,19,CAM,6,CM,16,CM,17,LWB,26,LWB,4,CB,5,CB,22,CB,1,GK,Leeds United,4-4-1-1,9,ST,22,CAM,10,LM,23,CM,43,CM,18,RM,15,LB,6,CB,5,CB,2,RB,1,GK,0,1,away
West Bromwich Albion,3-4-1-2,7,ST,29,ST,12,CAM,18,CM,19,CM,14,LWB,2,LWB,5,CB,20,CB,6,CB,1,GK,Sheffield United,3-5-2,14,ST,9,ST,4,CM,8,CM,16,CM,13,LWB,2,LWB,29,CB,12,CB,6,CB,1,GK,1,0,home
Southampton,4-4-2,10,ST,32,ST,12,LM,17,RM,6,CM,8,CM,3,LB,4,CB,35,CB,2,RB,1,GK,Manchester United,4-4-2◆,10,ST,11,ST,18,CAM,34,CM,17,CM,31,CM,27,LB,5,CB,2,CB,29,RB,1,GK,2,3,away
Chelsea,4-3-3,9,ST,11,LW,22,RW,19,CM,17,CM,7,CM,21,LB,6,CB,15,CB,24,RB,16,GK,Tottenham Hotspur,4-2-3-1,10,ST,23,LW,7,RW,28,CAM,5,CM,17,CM,3,LB,15,CB,14,CB,24,RB,1,GK,0,0,draw
Arsenal,4-2-3-1,14,ST,7,LW,12,RW,28,CAM,34,CM,8,CM,3,LB,6,CB,23,CB,2,RB,1,GK,Wolverhampton Wanderers,4-2-3-1,9,ST,7,LW,37,RW,10,CAM,28,CM,32,CM,5,LB,16,CB,15,CB,22,RB,11,GK,1,2,away
Leicester City,3-4-3,9,ST,10,CAM,26,CAM,24,CM,8,CM,33,LWB,2,LWB,28,CB,6,CB,3,CB,1,GK,Fulham,3-4-3,17,ST,19,LW,15,RW,29,CM,21,CM,33,LWB,14,LWB,16,CB,5,CB,34,CB,1,GK,1,2,away
West Ham United,3-4-3,30,ST,18,CAM,20,CAM,28,CM,41,CM,26,LWB,5,LWB,3,LB,21,CB,4,CB,1,GK,Aston Villa,4-3-3,11,ST,10,LW,17,RW,14,CM,7,CM,6,CM,18,LB,5,CB,4,CB,2,RB,26,GK,2,1,home
Burnley,4-4-2,19,ST,9,ST,11,LM,12,RM,8,CM,18,CM,3,LB,6,CB,5,CB,2,RB,1,GK,Everton,3-4-3,9,ST,7,LW,19,RW,6,CM,16,CM,8,LWB,17,RB,5,CB,13,CB,22,LB,1,GK,1,1,draw
Manchester City,4-2-3-1,9,ST,7,LW,26,RW,17,CAM,8,CM,16,CM,22,LB,3,CB,5,CB,27,RB,31,GK,Fulham,3-4-1-2,17,ST,19,ST,15,CAM,21,CM,29,CM,33,LWB,14,LWB,16,CB,5,CB,34,CB,1,GK,2,0,home
West Ham United,3-4-3,22,ST,18,CAM,20,CAM,28,CM,41,CM,26,LWB,5,LWB,3,CB,21,CB,4,CB,1,GK,Manchester United,4-2-3-1,7,ST,9,LW,11,RW,34,CAM,6,CM,39,CM,27,LB,5,CB,2,CB,29,RB,26,GK,1,3,away
Chelsea,4-3-3,18,ST,11,LW,22,RW,19,CM,29,CM,7,CM,21,LB,6,CB,15,CB,24,RB,16,GK,Leeds United,4-4-1-1,9,ST,43,CAM,22,LM,23,CM,15,CM,18,RM,10,LB,6,CB,5,CB,2,RB,1,GK,3,1,home
West Bromwich Albion,3-4-1-2,29,ST,11,ST,12,CAM,18,CM,19,CM,10,LWB,2,LWB,5,CB,20,CB,6,CB,1,GK,Crystal Palace,4-4-2,11,ST,20,ST,25,LM,15,RM,18,CM,4,CM,3,LB,24,CB,8,CB,17,RB,31,GK,1,5,away
Sheffield United,3-5-2,9,ST,14,ST,4,CM,7,CM,8,CM,13,LWB,2,LWB,29,CB,12,CB,6,CB,1,GK,Leicester City,3-4-3,9,ST,10,LW,17,RW,24,CM,8,CM,2,LWB,11,LWB,28,CB,6,CB,3,CB,1,GK,1,2,away
Tottenham Hotspur,4-2-3-1,10,ST,7,LW,23,RW,18,CAM,5,CM,17,CM,3,LB,15,CB,4,CB,24,RB,1,GK,Arsenal,4-4-2,14,ST,9,ST,7,LM,12,RM,34,CM,18,CM,3,LB,6,CB,16,CB,2,RB,1,GK,2,0,home
Liverpool,4-3-3,9,ST,10,LW,11,RW,5,CM,17,CM,14,CM,26,LB,3,CB,32,CB,76,RB,62,GK,Wolverhampton Wanderers,4-3-3,10,ST,7,LW,37,RW,8,CM,32,CM,28,CM,5,LB,16,CB,15,CB,22,RB,11,GK,4,0,home
Brighton & Hove Albion,3-4-1-2,18,ST,7,ST,13,CAM,8,CM,3,CM,20,LWB,2,LWB,4,CB,5,CB,34,CB,1,GK,Southampton,4-4-2,10,ST,32,ST,12,LM,17,RM,6,CM,8,CM,3,LB,4,CB,35,CB,2,RB,1,GK,1,2,away
Leeds United,4-1-4-1,9,ST,22,LM,43,CM,20,CM,18,RM,23,CM,10,LB,6,CB,2,CB,15,RB,1,GK,West Ham United,4-2-3-1,22,ST,18,LW,20,RW,9,CAM,28,CM,41,CM,3,LB,21,CB,4,CB,5,RB,1,GK,1,2,away
Wolverhampton Wanderers,4-2-3-1,17,ST,7,LW,37,RW,10,CAM,28,CM,32,CM,5,LB,27,CB,16,CB,22,RB,11,GK,Aston Villa,4-3-3,11,ST,10,LW,15,RW,7,CM,41,CM,6,CM,18,LB,5,CB,4,CB,2,RB,26,GK,0,1,away
Newcastle United,4-4-2,9,ST,13,ST,11,LM,24,RM,8,CM,36,CM,15,LB,2,CB,14,CB,17,RB,26,GK,West Bromwich Albion,3-4-1-2,29,ST,7,ST,17,CAM,19,CM,18,CM,10,LWB,2,LWB,27,CB,20,CB,6,CB,1,GK,2,1,home
Manchester United,4-2-3-1◆,10,ST,6,LW,11,RW,18,CAM,17,CM,39,CM,23,LB,5,CB,2,CB,29,RB,1,GK,Manchester City,4-2-3-1,9,ST,7,LW,26,RW,17,CAM,25,CM,16,CM,27,LB,3,CB,5,CB,2,RB,31,GK,0,0,draw
Everton,4-3-3,9,ST,7,LW,17,RW,10,CM,16,CM,6,CM,22,LB,5,CB,13,CB,4,RB,1,GK,Chelsea,4-3-3,18,ST,11,LW,29,RW,19,CM,17,CM,7,CM,21,LB,6,CB,15,CB,24,RB,16,GK,1,0,home
Southampton,4-4-2,10,ST,9,ST,32,LM,17,RM,6,CM,8,CM,3,LB,4,CB,35,CB,2,RB,1,GK,Sheffield United,3-5-2,10,ST,9,ST,4,CM,8,CM,22,CM,3,LWB,2,LWB,15,CB,12,CB,6,CB,1,GK,3,0,home
Crystal Palace,4-4-2,11,ST,20,ST,25,LM,15,RM,18,CM,4,CM,3,LB,24,CB,8,CB,17,RB,31,GK,Tottenham Hotspur,4-2-3-1,10,ST,7,LW,23,RW,28,CAM,5,CM,17,CM,3,LB,15,CB,4,CB,24,RB,1,GK,1,1,draw
Fulham,3-4-3,17,ST,19,LW,15,RW,18,CM,29,CM,33,LWB,14,LWB,16,CB,5,CB,34,CB,1,GK,Liverpool,4-3-3,9,ST,10,LW,11,RW,5,CM,17,CM,14,CM,26,LB,3,CB,32,CB,66,RB,1,GK,1,1,draw
Arsenal,4-2-3-1,14,ST,7,LW,12,RW,9,CAM,34,CM,25,CM,3,LB,6,CB,16,CB,2,RB,1,GK,Burnley,4-4-1-1,9,ST,19,CAM,11,LM,12,RM,8,CM,18,CM,3,LB,6,CB,5,CB,2,RB,1,GK,0,1,away
Leicester City,3-4-3,9,ST,10,CAM,17,CAM,8,CM,25,CM,2,LWB,11,LWB,28,CB,6,CB,3,CB,1,GK,Brighton & Hove Albion,4-2-3-1,18,ST,20,LW,16,RW,9,CAM,8,CM,13,CM,33,LB,5,CB,3,CB,34,RB,1,GK,3,0,home
Wolverhampton Wanderers,3-4-1-2,7,ST,17,ST,10,CAM,8,CM,32,CM,5,LWB,22,LWB,27,CB,16,CB,15,CB,11,GK,Chelsea,4-3-3,18,ST,10,LW,11,RW,19,CM,29,CM,7,CM,21,LB,6,CB,15,CB,24,RB,16,GK,2,1,home
Manchester City,4-2-3-1,9,ST,47,LW,7,RW,17,CAM,8,CM,16,CM,22,LB,6,CB,3,CB,27,RB,31,GK,West Bromwich Albion,4-1-4-1,29,ST,11,LM,18,CM,8,CM,10,RM,19,CM,3,LB,27,CB,6,CB,2,RB,1,GK,1,1,draw
Arsenal,3-4-3,30,ST,14,LW,19,RW,8,CM,25,CM,7,LWB,15,LWB,3,CB,6,CB,16,CB,1,GK,Southampton,4-4-2,10,ST,9,ST,32,LM,17,RM,6,CM,8,CM,3,LB,4,CB,35,CB,2,RB,1,GK,1,1,draw
Leicester City,4-2-3-1,9,ST,15,LW,19,RW,10,CAM,24,CM,8,CM,28,LB,25,CB,3,CB,2,RB,1,GK,Everton,4-3-3,9,ST,7,LW,17,RW,16,CM,10,CM,6,CM,22,LB,5,CB,13,CB,4,RB,33,GK,0,2,away
Leeds United,4-1-4-1,9,ST,22,LM,43,CM,20,CM,18,RM,23,CM,10,LB,6,CB,2,CB,15,RB,1,GK,Newcastle United,4-4-2,9,ST,13,ST,21,LM,14,CM,36,CM,16,RM,15,LB,2,CB,18,CB,23,RB,26,GK,5,2,home
West Ham United,4-2-3-1,22,ST,18,LW,20,RW,9,LW,28,CM,41,CM,3,LB,21,CB,23,CB,5,RB,1,GK,Crystal Palace,4-4-2,11,ST,20,ST,25,LM,18,CM,4,CM,10,RM,3,LB,6,CB,8,CB,2,RB,31,GK,1,1,draw
Fulham,3-4-3,17,ST,19,LW,15,RW,21,CM,29,CM,33,LWB,14,LWB,16,CB,5,CB,34,CB,1,GK,Brighton & Hove Albion,3-4-3,18,ST,11,LW,14,RW,17,CM,8,CM,20,LWB,2,LWB,4,CB,5,CB,3,CB,26,GK,0,0,draw
Liverpool,4-3-3,9,ST,10,LW,11,RW,5,CM,17,CM,14,CM,26,LB,3,CB,46,CB,66,RB,1,GK,Tottenham Hotspur,4-4-2,7,ST,10,ST,23,LM,18,CM,5,CM,17,RM,33,LB,15,CB,4,CB,24,RB,1,GK,2,1,home
Aston Villa,4-2-3-1,11,ST,21,LW,15,RW,10,CAM,19,CM,7,CM,18,LB,5,CB,30,CB,27,RB,26,GK,Burnley,4-4-2,19,ST,9,ST,11,LM,12,RM,8,CM,18,CM,3,LB,6,CB,5,CB,2,RB,1,GK,0,0,draw
Sheffield United,3-5-2,17,ST,14,ST,4,CM,8,CM,22,CM,3,LWB,2,LWB,19,CB,12,CB,6,CB,1,GK,Manchester United,4-2-3-1,9,ST,10,LW,11,RW,18,CAM,6,CM,31,CM,27,LB,5,CB,2,CB,29,RB,26,GK,2,3,away
Crystal Palace,4-4-2,9,ST,11,ST,25,LM,15,RM,18,CM,4,CM,3,LB,24,CB,8,CB,17,RB,31,GK,Liverpool,4-3-3,9,ST,18,LW,10,RW,5,CM,8,CM,14,CM,26,LB,3,CB,32,CB,66,RB,1,GK,0,7,away
Southampton,4-4-2,10,ST,9,ST,12,LM,6,CM,8,CM,32,RM,3,LB,4,CB,35,CB,2,RB,1,GK,Manchester City,4-2-3-1,21,ST,7,LW,20,RW,17,ST,16,CM,8,CM,27,LB,3,CB,5,CB,2,RB,31,GK,0,1,away
Everton,4-2-3-1,9,ST,7,LW,17,RW,10,CAM,26,CM,16,CM,22,LB,5,CB,13,CB,4,RB,1,GK,Arsenal,3-4-3,30,ST,12,LW,19,RW,25,CM,8,CM,7,LWB,15,LWB,3,CB,23,CB,16,CB,1,GK,2,1,home
Newcastle United,4-4-2,9,ST,13,ST,24,LM,36,CM,8,CM,11,RM,3,LB,2,CB,18,CB,22,RB,26,GK,Fulham,4-2-3-1,9,ST,19,LW,14,RW,10,CAM,18,CM,29,CM,33,LB,16,CB,5,CB,34,RB,1,GK,1,1,draw
Brighton & Hove Albion,3-4-3,7,ST,9,CAM,11,CAM,14,CM,8,CM,20,LWB,34,LWB,4,CB,5,CB,3,CB,26,GK,Sheffield United,3-5-2,17,ST,24,ST,4,CM,7,CAM,22,CM,3,LB,2,RB,19,CB,12,CB,6,CM,1,GK,1,1,draw
Tottenham Hotspur,4-2-3-1,10,ST,7,LW,18,RW,28,CAM,5,CM,17,CM,3,LB,15,CB,4,CB,24,RB,1,GK,Leicester City,4-2-3-1,9,ST,15,LW,11,RW,10,CAM,8,CM,25,CM,27,LB,6,CB,3,CB,2,RB,1,GK,0,2,away
Manchester United,4-2-3-1,9,ST,10,LW,21,RW,18,CAM,17,CM,39,CM,23,LB,5,CB,2,CB,29,RB,1,GK,Leeds United,4-1-4-1,9,ST,22,RM,43,CM,20,CM,18,RM,23,CM,10,LB,6,CB,2,CB,15,RB,1,GK,6,2,home
West Bromwich Albion,4-1-4-1,29,ST,11,LM,18,CM,8,CM,10,RM,19,CM,3,LB,27,CB,6,CB,2,RB,1,GK,Aston Villa,4-2-3-1,11,ST,21,LW,15,RW,10,CAM,7,CM,6,CM,18,LB,5,CB,30,CB,2,RB,26,GK,0,3,away
Burnley,4-4-2,10,ST,9,ST,11,LM,12,RM,8,CM,18,CM,3,LB,6,CB,5,CB,2,RB,1,GK,Wolverhampton Wanderers,3-4-1-2,10,ST,7,ST,54,CAM,28,CM,8,CM,3,LWB,22,LWB,27,CB,16,CB,49,CB,11,GK,2,1,home
Chelsea,4-3-3,9,ST,11,LW,10,RW,19,CM,7,CM,5,CM,21,LB,6,CB,15,CB,28,RB,16,GK,West Ham United,4-2-3-1,22,ST,18,LW,20,RW,16,CAM,41,CM,28,CM,3,LB,21,CB,4,CB,5,RB,1,GK,3,0,home
Leicester City,4-2-3-1,9,ST,15,LW,11,RW,10,CAM,8,CM,25,CM,27,LB,6,CB,3,CB,2,RB,1,GK,Manchester United,4-2-3-1,9,ST,10,LW,21,RW,18,CAM,17,CM,39,CM,23,LB,5,CB,3,CB,2,RB,1,GK,2,2,draw
Fulham,3-5-2,19,ST,17,ST,29,CM,15,CM,21,CM,33,LWB,14,LWB,16,CB,5,CB,34,CB,1,GK,Southampton,4-4-2,7,ST,10,ST,32,LM,17,RM,27,CM,8,CM,3,LB,5,CB,35,CB,2,RB,1,GK,0,0,draw
Aston Villa,4-2-3-1,11,ST,21,LW,15,RW,10,LW,7,CM,6,CM,18,LB,5,CAM,30,CB,2,RB,26,GK,Crystal Palace,4-4-2,20,ST,11,ST,25,LM,18,CM,4,CM,15,RM,3,LB,6,CB,8,CB,2,RB,31,GK,3,0,home
Arsenal,4-2-3-1,9,ST,35,LW,7,RW,32,CAM,34,CM,25,CM,3,LB,22,CB,16,CB,2,RB,1,GK,Chelsea,4-3-3,9,ST,11,LW,10,RW,19,CM,17,CM,7,CM,21,LB,6,CB,15,CB,24,RB,16,GK,3,1,home
Sheffield United,3-4-3,14,ST,24,LW,17,RW,23,CM,22,CM,3,LWB,2,LWB,19,CB,12,CB,6,CB,1,GK,Everton,4-2-3-1,9,ST,24,LW,17,RW,10,CAM,26,CM,16,CM,22,LB,5,CB,13,CB,4,RB,1,GK,0,1,away
Manchester City,4-3-3◆,21,ST,20,RW,7,LW,8,CM,17,CM,16,CM,6,LB,3,CB,5,CB,27,RB,31,GK,Newcastle United,3-4-3,9,ST,24,LW,23,RW,4,CM,14,CM,11,LWB,22,LWB,2,CB,5,CB,18,CB,26,GK,2,0,home
Leeds United,3-5-1-1,9,ST,20,CAM,22,CM,18,CM,43,CM,10,LWB,15,LWB,21,CB,23,CB,2,CB,1,GK,Burnley,4-4-2,10,ST,9,ST,23,LM,41,RM,18,CM,8,CM,3,LB,6,CB,5,CB,2,RB,1,GK,1,0,home
West Ham United,3-4-1-2,22,ST,20,ST,16,CAM,41,CM,28,CM,31,LWB,5,LWB,3,CB,21,CB,4,CB,1,GK,Brighton & Hove Albion,3-4-3,18,ST,9,CAM,11,CAM,14,CM,8,CM,20,LWB,3,LWB,33,CB,5,CB,4,CB,26,GK,2,2,draw
Liverpool,4-3-3,9,ST,10,LW,11,RW,5,CM,17,CM,14,CM,26,LB,3,CB,32,CB,66,RB,1,GK,West Bromwich Albion,4-5-1,29,ST,11,LM,18,CM,10,CM,7,RM,19,CM,3,LB,27,CB,6,CB,2,RB,1,GK,1,1,draw
Wolverhampton Wanderers,4-2-3-1,17,ST,7,LW,37,RW,10,CAM,28,CM,8,CM,5,LB,27,CB,16,CB,22,RB,11,GK,Tottenham Hotspur,3-4-1-2,7,ST,10,ST,28,CAM,5,CM,8,CM,3,LWB,2,LWB,33,CB,15,CB,6,CB,1,GK,1,1,draw
Crystal Palace,4-4-2,11,ST,20,ST,15,LM,10,RM,4,CM,44,CM,27,LB,8,CB,5,CB,17,RB,31,GK,Leicester City,4-2-3-1,14,ST,15,LW,17,RW,26,CAM,24,CM,20,CM,33,LB,6,CB,18,CB,2,RB,1,GK,1,1,draw
Chelsea,4-3-3,18,ST,10,LW,20,RW,19,CM,7,CM,5,CM,21,LB,2,CB,4,CB,28,RB,16,GK,Aston Villa,4-2-3-1,11,ST,21,LW,15,RW,10,CAM,7,CM,6,CM,18,LB,30,CB,4,CB,2,RB,26,GK,1,1,draw
Southampton,4-4-2,10,ST,9,ST,12,LM,6,CM,8,CM,32,RM,3,LB,5,CB,35,CB,2,RB,1,GK,West Ham United,4-5-1,22,ST,18,LM,28,CM,10,CM,7,RM,41,CM,3,LB,21,CB,15,CB,24,RB,1,GK,0,0,draw
West Bromwich Albion,4-1-4-1,29,ST,11,LM,18,CM,10,CM,7,RM,19,CM,22,LB,27,CB,6,CB,2,RB,1,GK,Leeds United,4-1-4-1,9,ST,22,LM,43,CM,20,CM,18,RM,23,CM,10,LB,21,CB,2,CB,15,RB,1,GK,0,5,away
Brighton & Hove Albion,4-4-2,10,ST,16,ST,30,LM,24,RM,13,CM,8,CM,33,LB,5,CB,4,CB,34,RB,26,GK,Arsenal,4-2-3-1,14,ST,35,LW,7,RW,32,CAM,34,CM,25,CM,3,LB,22,CB,16,CB,2,RB,1,GK,0,1,away
Burnley,4-4-2,10,ST,9,ST,23,LB,18,CM,8,CM,12,LM,3,LB,6,CB,5,CB,2,RB,1,GK,Sheffield United,3-4-3,11,ST,24,LW,17,RW,23,CM,22,CM,3,LWB,2,LWB,19,CB,12,CB,6,CB,1,GK,1,0,home
Manchester United,4-2-3-1,7,ST,10,LW,11,RW,18,CAM,31,CM,6,CM,27,LB,5,CB,3,CB,29,RB,1,GK,Wolverhampton Wanderers,3-5-2,7,ST,37,ST,28,CM,8,CM,20,CM,3,LWB,2,LWB,49,CB,27,CB,16,CB,11,GK,1,0,home
Newcastle United,3-4-3,13,ST,9,CAM,23,CAM,4,CM,14,CM,11,LWB,22,LWB,2,CB,5,CB,18,CB,26,GK,Liverpool,4-3-3,9,ST,10,LW,11,RW,7,CM,17,CM,14,CM,26,LB,3,CB,47,CB,66,RB,1,GK,0,0,draw
Everton,4-2-3-1,9,ST,7,LW,20,RW,10,CAM,26,CM,16,CM,22,LB,4,CB,13,CB,23,RB,1,GK,West Ham United,4-2-3-1,22,ST,18,LW,20,RW,9,CAM,28,CM,41,CM,3,LB,21,CB,15,CB,5,RB,35,GK,0,1,away
Manchester United,4-4-2◆,9,ST,10,ST,18,CAM,6,CM,39,CM,17,CM,23,LB,5,CB,3,CB,29,RB,1,GK,Aston Villa,4-2-3-1,11,ST,21,LW,15,RW,10,CAM,6,CM,7,CM,18,LB,5,CB,4,CB,2,RB,26,GK,2,1,home
Tottenham Hotspur,4-2-3-1,10,ST,7,LW,23,RW,28,CAM,5,CM,8,CM,33,LB,15,CB,4,CB,2,RB,1,GK,Leeds United,4-1-4-1,9,ST,22,LM,43,CM,20,CM,18,RM,23,CM,10,LB,21,CB,2,CB,15,RB,1,GK,3,0,home
Crystal Palace,4-4-2,11,ST,20,ST,15,LM,10,RM,4,CM,18,CM,27,LB,8,CB,5,CB,2,RB,31,GK,Sheffield United,3-5-2,11,ST,17,ST,4,CM,6,CM,16,CM,23,LWB,20,LWB,3,CB,12,CB,22,CB,1,GK,2,0,home
Brighton & Hove Albion,3-4-3,7,ST,9,LW,11,RW,8,CM,3,CM,20,LWB,34,LWB,33,CB,5,CB,4,CB,26,GK,Wolverhampton Wanderers,4-2-3-1,17,ST,7,LW,37,RW,20,CAM,8,CM,28,CM,3,LB,27,CB,16,CB,22,RB,11,GK,3,3,draw
West Bromwich Albion,4-4-1-1,7,ST,12,CAM,11,LM,10,RM,18,CM,19,CM,27,LB,20,CB,6,CB,2,RB,1,GK,Arsenal,4-2-3-1,9,ST,14,LW,7,RW,32,CAM,34,CM,8,CM,3,LB,22,CB,16,CB,2,RB,1,GK,0,4,away
Newcastle United,3-4-3,13,ST,9,LW,24,RW,4,CM,36,CM,11,LWB,22,LWB,2,CB,5,CB,18,CB,26,GK,Leicester City,4-2-3-1,9,ST,15,LW,11,RW,10,CAM,8,CM,25,CM,27,LB,6,CB,3,CB,2,RB,1,GK,1,2,away
Chelsea,4-3-3,11,ST,10,LW,22,RW,19,CM,17,CM,7,CM,21,LB,6,CB,15,CB,28,RB,16,GK,Manchester City,4-2-3-1,7,ST,47,LW,20,RW,17,CAM,16,CM,8,CM,11,LB,3,CB,5,CB,27,RB,13,GK,1,3,away
Southampton,4-4-2,32,LM,9,ST,12,LM,17,RM,8,CM,27,CM,3,LB,5,CB,35,CB,2,RB,44,GK,Liverpool,4-3-3,9,ST,10,LW,11,RW,5,CM,15,CM,6,CM,26,LB,3,CB,14,CB,66,RB,1,GK,1,0,home
Sheffield United,3-5-2,14,ST,17,ST,4,CM,7,CM,16,CM,23,LWB,20,LWB,22,CB,12,CB,6,CB,1,GK,Newcastle United,3-4-3,13,ST,21,LW,36,RW,16,CM,14,CM,3,LWB,22,LWB,2,CB,5,CB,18,CB,26,GK,1,0,home
Burnley,4-4-2,10,ST,9,ST,12,LM,7,RM,8,CM,18,CM,23,LB,6,CB,5,CB,2,RB,1,GK,Manchester United,4-2-3-1,7,ST,9,LW,10,RW,18,CAM,31,CM,6,CM,23,LB,5,CB,3,CB,29,RB,1,GK,0,1,away
Wolverhampton Wanderers,4-3-3,18,ST,17,LW,7,RW,28,CM,32,CM,8,CM,3,LB,27,CB,16,CB,22,RB,11,GK,Everton,4-4-2,10,ST,19,ST,12,LM,17,RM,26,CM,16,CM,22,LB,5,CB,13,CB,4,RB,1,GK,1,2,away
Manchester City,4-3-3,20,ST,47,LW,26,RW,8,CM,17,CM,16,CM,11,LB,3,CB,5,CB,27,RB,31,GK,Brighton & Hove Albion,3-4-3,10,ST,11,LW,22,RW,3,CM,24,CM,30,LWB,34,LWB,33,CB,5,CB,4,CB,26,GK,1,0,home
Tottenham Hotspur,4-2-3-1,10,ST,7,LW,17,RW,28,CAM,8,CM,5,CM,3,LB,15,CB,6,CB,24,RB,1,GK,Fulham,3-4-3,15,ST,17,LW,14,RW,29,CM,21,CM,33,LWB,2,LWB,16,CB,5,CB,34,CB,1,GK,1,1,draw
Arsenal,4-2-3-1,9,ST,14,LW,7,RW,32,CAM,34,CM,8,CM,15,LB,23,CB,16,CB,2,RB,1,GK,Crystal Palace,4-4-2,11,ST,20,ST,25,LM,10,RM,4,CM,18,CM,27,LB,8,CB,5,CB,2,RB,31,GK,0,0,draw
Wolverhampton Wanderers,4-3-3,17,ST,7,LW,37,RW,28,CM,32,CM,8,CM,27,LB,16,CB,15,CB,22,RB,11,GK,West Bromwich Albion,4-2-3-1,7,ST,13,LW,23,RW,12,CAM,19,CM,8,CM,3,LB,5,CB,6,CB,27,RB,25,GK,2,3,away
Leeds United,4-5-1,9,ST,18,LM,43,CM,20,CM,22,RM,21,CM,10,LB,6,CB,2,CB,15,RB,13,GK,Brighton & Hove Albion,3-4-3,9,ST,10,CAM,11,CAM,13,CM,3,CM,20,LWB,34,LWB,33,CB,5,CB,4,CB,26,GK,0,1,away
West Ham United,4-2-3-1,30,ST,18,LW,20,RW,9,CAM,41,CM,28,CM,3,LB,21,CB,15,CB,5,RB,1,GK,Burnley,4-4-2,10,ST,9,ST,12,LM,7,RM,8,CM,18,CM,23,LB,6,CB,5,CB,2,RB,1,GK,1,0,home
Fulham,3-5-2,19,ST,17,ST,29,CM,14,CM,21,CM,33,LWB,2,LWB,16,CB,5,CB,34,CB,1,GK,Chelsea,4-3-3,18,ST,10,LW,22,RW,19,CM,17,CM,5,CM,21,LB,2,CB,6,CB,28,RB,16,GK,0,1,away
Leicester City,4-2-3-1,9,ST,15,LW,11,RW,10,CAM,8,CM,25,CM,2,LB,6,CB,3,CB,27,RB,1,GK,Southampton,4-4-2,10,ST,32,ST,20,LM,17,RM,8,CM,27,CM,3,LB,5,CB,35,CB,2,RB,1,GK,2,0,home
Sheffield United,3-5-2,14,ST,17,ST,4,CM,7,CM,16,CM,3,LWB,20,LWB,22,CB,12,CB,6,CB,1,GK,Tottenham Hotspur,3-4-3,10,ST,7,LW,23,RW,5,CM,28,CM,3,LWB,24,LWB,33,CB,15,CB,14,CB,1,GK,1,3,away
Liverpool,4-3-3,9,ST,10,LW,11,RW,5,CM,23,CM,6,CM,26,LB,14,CB,3,CB,66,RB,1,GK,Manchester United,4-2-3-1,10,ST,9,LW,6,RW,18,CAM,17,CM,39,CM,23,LB,5,CB,2,CB,29,RB,1,GK,0,0,draw
Manchester City,4-3-3,9,ST,7,LW,20,RW,8,CM,17,CM,25,CM,11,LB,3,CB,5,CB,2,RB,31,GK,Crystal Palace,4-1-4-1,9,ST,25,LM,18,CM,22,CM,10,RM,4,CM,27,LB,24,CB,5,CB,2,RB,31,GK,4,0,home
Arsenal,4-2-3-1,9,ST,14,LW,7,RW,32,CAM,34,CM,18,CM,3,LB,23,CB,16,CB,17,RB,1,GK,Newcastle United,4-4-2,7,ST,13,ST,9,LM,24,RM,8,CM,4,CM,15,LB,2,CB,6,CB,17,RB,26,GK,3,0,home
West Ham United,4-2-3-1,30,ST,9,LW,20,RW,10,CAM,41,CM,28,CM,3,LB,21,CB,15,CB,5,RB,1,GK,West Bromwich Albion,4-4-1-1,7,ST,12,CAM,13,LM,18,RM,19,CM,8,CM,3,LB,5,CB,6,CB,27,RB,1,GK,2,1,home
Leicester City,4-1-4-1,9,ST,15,LM,10,CM,8,CM,11,RM,25,CM,2,LB,6,CB,3,CB,27,RB,1,GK,Chelsea,4-3-3,9,ST,10,LW,20,RW,19,CM,29,CM,17,CM,21,LB,6,CB,2,CB,24,RB,16,GK,2,0,home
Manchester City,4-3-3,20,ST,47,LW,7,RW,8,CM,17,CM,16,CM,27,RB,3,CB,5,CB,2,RB,31,GK,Aston Villa,4-2-3-1,11,ST,10,LW,15,RW,20,CAM,7,CM,6,CM,18,LB,5,CB,4,CB,2,RB,26,GK,2,0,home
Fulham,3-4-3,19,ST,17,CAM,15,CAM,21,CM,29,CM,23,LWB,2,LWB,16,CB,5,CB,34,CB,1,GK,Manchester United,4-2-3-1,7,ST,9,LW,11,RW,18,CAM,17,CM,6,CM,23,LB,5,CB,3,CB,29,RB,1,GK,1,2,away
