match_id,home_player_avg_wei,home_player_avg_hei,away_player_avg_wei,away_player_avg_hei
14202,77.33,182.11,73.82,180.73
14229,78.36,181.45,76.78,181.78
14239,78.45,183.55,79.6,184.3
14240,76.91,182.36,81.27,183.73
14241,75.27,182.64,78.5,183.0
14242,75.73,182.27,77.91,183.36
14243,80.73,182.73,76.6,184.1
14244,76.91,182.18,76.5,183.6
14245,78.09,184.0,75.64,180.45
14246,76.36,184.64,77.67,182.11
14247,72.5,182.5,75.18,179.18
14248,74.73,182.18,77.55,183.36
14249,77.3,183.2,76.73,183.55
14250,75.67,183.22,77.3,184.0
14251,77.1,183.3,74.64,182.55
14252,75.64,179.91,81.45,183.45
14253,79.44,184.33,72.5,182.5
14254,75.45,181.0,76.91,182.0
14255,75.0,180.0,76.2,182.9
14256,78.22,182.44,74.27,181.36
14257,77.7,184.2,78.09,184.0
14258,76.4,183.8,78.18,183.82
14259,77.4,183.9,75.8,183.0
14260,75.73,180.18,76.45,182.55
14261,76.91,182.0,76.45,182.55
14262,77.18,183.27,78.44,185.11
14263,80.36,182.73,77.91,183.09
14264,76.45,184.45,76.83,183.83
14265,76.91,182.27,74.27,181.0
14266,74.64,182.55,77.7,184.2
14267,74.9,183.2,79.44,184.33
14268,75.91,182.55,74.09,179.82
14269,76.09,180.45,78.29,184.43
14270,77.3,183.6,76.8,183.6
14271,74.5,181.0,82.27,184.91
14272,75.83,182.83,74.9,183.2
14273,79.88,184.25,76.91,182.0
14274,74.82,181.18,76.18,180.18
14275,80.22,184.67,77.55,183.36
14276,78.0,183.3,75.73,183.91
14277,77.82,182.09,77.64,181.73
14278,76.9,184.4,74.64,182.55
14279,75.36,179.55,77.91,183.0
14280,76.4,180.5,75.82,181.55
14281,75.91,182.0,77.0,183.1
14282,80.45,183.64,78.78,185.44
14283,74.9,183.2,75.2,181.8
14284,75.27,180.64,72.17,181.67
14285,79.09,183.27,76.4,180.5
14286,75.64,179.91,78.78,183.44
14287,76.9,183.3,80.18,184.0
14288,77.0,185.27,73.91,179.45
14289,77.4,182.9,77.82,183.73
14290,77.0,181.82,78.22,185.33
14291,80.18,184.0,75.64,179.91
14292,73.36,179.27,74.2,182.2
14293,79.36,183.55,76.55,181.55
14294,78.2,185.3,75.1,181.1
14295,74.5,182.2,73.0,181.09
14296,77.11,183.67,77.27,182.09
14297,76.3,180.7,76.64,182.45
14298,76.91,182.18,80.64,183.91
14299,72.17,181.67,77.27,182.73
14300,75.7,183.6,77.45,185.55
14301,74.64,180.36,77.27,182.73
14302,79.36,183.55,77.91,181.45
14303,73.6,181.8,76.64,182.45
14304,76.1,183.6,76.45,180.73
14305,74.5,182.2,71.88,181.12
14306,73.45,178.09,78.36,183.73
14307,77.0,181.82,77.11,183.67
14308,79.8,185.6,76.36,180.91
14309,76.18,184.55,75.64,179.91
14310,75.64,182.27,78.73,183.55
14311,71.88,181.12,80.22,186.33
14312,77.27,180.18,76.64,184.82
14313,77.2,183.2,78.5,183.4
14314,75.8,183.3,74.45,182.55
14315,81.45,184.82,77.0,181.82
14316,77.91,181.45,74.73,180.0
14317,75.64,179.91,74.5,181.7
14318,76.64,182.45,75.5,182.5
14319,77.2,183.5,72.9,181.6
14320,76.91,182.18,73.91,179.27
14321,80.3,184.8,79.64,184.0
14322,74.5,182.0,75.4,180.7
14323,76.18,180.27,76.64,182.45
14324,73.73,181.55,75.64,179.91
14325,76.64,184.82,76.82,182.64
14326,74.45,182.55,74.88,182.62
14327,78.2,183.9,77.2,183.2
14328,73.64,180.55,76.91,180.0
14329,77.0,180.7,75.6,182.4
14330,73.7,182.2,76.8,180.8
14331,76.9,181.4,73.91,179.45
14332,83.0,186.27,73.5,180.0
14333,76.82,180.64,76.11,181.0
14334,76.18,181.45,75.5,182.6
14335,76.3,183.3,75.27,184.82
14336,74.4,180.1,77.6,184.9
14337,76.5,183.0,77.1,183.8
14338,76.09,181.73,77.0,181.82
14339,74.7,181.2,73.7,182.2
14340,75.64,179.91,76.09,184.64
14341,75.2,184.5,75.9,183.4
14342,77.5,182.0,73.73,178.73
14343,74.3,181.0,76.5,183.0
14344,77.73,180.64,73.9,181.8
14345,75.73,182.45,80.64,184.55
14346,76.64,182.45,76.11,182.11
14347,76.73,180.73,79.73,184.91
14348,74.91,179.18,76.09,184.64
14349,76.45,181.73,76.44,180.89
14350,78.2,181.9,74.4,182.0
14351,74.09,183.09,77.73,180.64
14352,77.1,182.7,76.45,182.36
14353,82.09,185.45,77.67,184.33
14354,80.64,185.36,76.55,185.27
14355,72.73,179.18,76.45,183.36
14356,75.2,182.4,77.64,181.18
14357,76.9,181.4,74.3,181.0
14358,74.11,182.11,77.0,181.82
14359,73.18,181.09,76.64,182.45
14360,76.11,181.0,74.89,181.78
14361,76.82,179.82,80.45,184.64
14362,78.9,183.9,76.62,183.25
14363,76.64,180.64,76.55,181.64
14364,77.64,181.18,73.5,182.62
14365,77.0,181.82,77.11,183.33
14366,74.3,181.0,77.44,182.67
14367,76.45,183.36,73.91,182.18
14368,76.64,182.45,82.09,185.45
14369,74.1,182.1,76.64,179.82
14370,76.91,186.18,74.0,182.0
14371,75.73,183.09,74.75,181.5
14372,79.56,185.0,74.0,181.3
14373,80.22,184.89,75.45,184.91
14374,74.33,183.11,76.64,182.45
14375,76.55,181.64,77.2,183.2
14376,75.0,183.1,75.3,181.6
14377,73.91,180.91,77.4,183.2
14378,74.73,179.0,75.64,179.91
14379,80.45,184.64,76.45,183.36
14380,82.09,185.45,79.64,182.55
14381,79.91,184.09,75.33,183.56
14382,76.91,182.18,80.45,184.73
14383,76.8,182.8,74.33,183.11
14384,74.91,180.18,76.0,181.1
14385,78.55,181.64,75.1,180.4
14386,74.2,183.7,78.64,182.73
14387,73.27,180.91,75.7,182.2
14388,76.0,183.73,77.1,181.8
14389,76.18,180.18,75.0,180.73
14390,76.64,182.45,75.27,179.73
14391,74.0,182.18,77.18,184.18
14392,73.8,180.0,75.1,183.4
14393,80.45,184.64,74.38,182.62
14394,78.6,182.7,72.36,182.0
14395,76.11,182.89,79.55,181.45
14396,75.67,184.0,79.3,184.0
14397,77.2,183.2,77.6,182.8
14398,72.3,180.9,78.73,181.36
14399,75.82,180.73,73.6,178.4
14400,72.55,178.55,77.3,181.7
14401,72.82,181.64,77.09,181.27
14402,76.4,182.3,74.6,182.2
14403,78.7,183.3,77.91,181.73
14404,74.8,181.5,79.64,183.82
14405,80.45,185.36,75.2,182.1
14406,74.18,180.55,74.0,182.36
14407,74.67,183.78,75.1,183.4
14408,76.8,182.9,76.82,182.45
14409,77.45,181.91,76.27,183.45
14410,75.55,181.0,77.0,181.82
14411,76.91,182.18,74.73,180.82
14412,75.55,184.36,77.45,181.91
14413,75.27,179.91,75.3,181.6
14414,75.7,182.6,74.62,184.25
14415,75.64,181.91,76.56,181.44
14416,71.45,181.09,73.3,181.1
14417,78.18,182.91,76.0,181.22
14418,77.3,182.0,75.55,181.45
14419,76.0,179.3,81.36,186.18
14420,75.45,183.36,73.91,181.0
14421,81.36,186.18,78.0,182.6
14422,73.75,182.62,75.09,180.64
14423,77.82,181.73,72.0,180.09
14424,75.3,181.6,75.64,181.91
14425,74.0,179.09,76.55,185.27
14426,71.56,179.22,77.55,182.82
14427,76.0,181.0,77.36,182.27
14428,78.2,182.4,76.73,181.36
14429,76.5,183.1,77.18,179.73
14430,75.55,181.45,76.7,184.1
14431,77.55,182.82,81.45,185.91
14432,75.91,180.82,73.8,180.2
14433,72.82,180.64,79.0,183.33
14434,76.7,181.8,74.82,180.82
14435,76.55,185.27,77.0,181.7
14436,77.45,180.55,76.33,181.11
14437,75.55,178.45,78.09,181.82
14438,76.55,181.45,75.44,183.78
14439,74.6,182.1,76.78,183.44
14440,75.64,181.91,75.55,181.45
14441,77.0,182.8,76.09,182.36
14442,74.73,179.45,75.27,180.82
14443,75.82,180.45,76.0,182.82
14444,80.9,185.4,74.1,180.2
14445,76.36,182.64,75.09,181.18
14446,78.73,182.0,75.44,183.78
14447,76.91,184.82,77.73,182.55
14448,82.27,185.91,75.55,182.73
14449,73.45,181.82,78.55,183.09
14450,76.78,183.44,77.11,183.44
14451,76.1,181.3,74.73,179.64
14452,74.45,181.64,76.91,184.82
14453,75.82,184.64,82.09,185.91
14454,77.73,182.55,76.09,180.36
14455,76.09,180.09,79.56,185.0
14456,79.0,184.18,74.73,179.45
14457,75.18,181.45,76.5,183.1
14458,75.44,183.78,75.09,181.18
14459,77.36,183.09,77.55,182.36
14460,77.22,183.33,77.45,182.18
14461,77.36,179.64,76.1,184.6
14462,80.09,183.91,77.0,181.8
14463,74.8,182.0,76.36,182.09
14464,77.73,182.55,75.82,185.18
14465,74.9,182.0,76.0,182.82
14466,76.64,184.73,77.09,182.45
14467,79.0,181.55,76.45,181.36
14468,75.45,184.27,81.91,186.64
14469,78.91,184.0,73.57,182.86
14470,78.0,183.3,76.18,182.45
14471,74.64,181.18,79.7,183.9
14472,72.43,182.0,75.45,180.55
14473,73.91,182.36,76.64,184.73
14474,77.8,183.3,74.2,180.4
14475,74.0,180.27,77.18,182.0
14476,78.91,181.27,74.8,182.0
14477,72.82,181.09,76.8,182.2
14478,80.36,185.64,75.82,181.91
14479,76.09,180.09,77.38,182.75
14480,77.6,182.2,78.91,182.36
14481,73.09,182.09,76.55,185.45
14482,76.5,184.6,74.18,178.55
14483,74.45,180.64,77.64,180.09
14484,76.45,181.73,72.43,182.0
14485,79.27,183.27,73.91,182.36
14486,74.73,181.36,74.18,180.55
14487,76.64,184.73,80.73,186.09
14488,81.5,183.2,72.91,182.18
14489,76.5,183.1,80.67,185.11
14490,76.82,181.18,73.55,182.45
14491,79.0,185.22,77.8,183.3
14492,76.43,183.86,75.91,181.27
14493,79.56,185.0,79.0,184.18
14494,79.36,185.36,79.3,182.1
14495,79.64,182.27,77.0,185.89
14496,76.27,179.36,76.8,182.2
14497,76.09,180.09,78.8,184.3
