match_id,team_id,fouls,injuries,corners,offsides,shots_total,shots_on_target,shots_off_target,shots_blocked,possessionpercent,yellowcards,yellowredcards,redcards,substitutions,goal_kick,goal_attempts,free_kick,throw_in,ball_safe,goals,penalties,attacks,dangerous_attacks
1330670,3698,13,1,6,0,10,5,4,1,54,2,0,0,3,11,9,10,17,44,2,0/0,33,23
1330670,3691,9,1,3,1,12,3,7,2,46,2,0,0,3,6,10,13,16,37,1,0/0,29,34
1330671,3693,9,1,3,4,9,5,2,2,48,0,0,0,3,4,7,7,23,57,0,0/0,19,24
1330671,3700,7,1,3,0,5,4,1,0,52,2,0,0,3,4,5,13,17,43,1,0/0,33,24
1330672,3704,13,2,3,0,7,2,2,3,54,3,0,0,3,10,4,8,14,66,0,0/0,12,22
1330672,3695,8,3,5,0,10,1,5,4,46,3,0,0,1,2,6,13,24,41,0,0/0,24,35
1330673,3690,16,1,11,0,20,5,6,9,52,1,0,0,3,2,11,8,25,41,4,0/0,22,37
1330673,4227,6,0,4,2,4,1,1,2,48,1,0,0,3,7,2,16,25,46,1,0/0,25,29
1330674,3701,15,1,9,0,19,11,5,3,49,1,0,0,3,6,16,15,14,37,4,0/0,14,49
1330674,3694,15,0,4,0,10,5,1,4,51,1,0,2,3,5,6,15,20,56,0,0/0,18,26
1330675,3695,10,1,1,1,7,4,3,NaN,55,0,0,0,2,4,7,12,11,34,1,0/0,38,28
1330675,3693,12,1,1,0,6,4,2,NaN,45,2,0,0,3,6,6,11,13,44,2,1/1,29,27
1330676,3700,14,2,5,3,13,3,8,2,55,1,0,0,3,9,11,15,16,37,1,0/0,28,35
1330676,3699,14,0,7,1,10,5,4,1,45,1,0,0,3,11,9,17,20,45,1,0/0,32,23
1330677,3696,11,NaN,5,0,15,5,7,3,55,1,0,0,3,7,12,21,19,39,2,0/1,22,39
1330677,3704,20,NaN,3,1,11,5,2,4,45,1,0,0,3,10,7,11,21,47,1,0/0,29,24
1330678,4227,16,0,9,4,9,3,4,2,54,1,0,0,3,8,7,16,21,40,0,0/0,25,35
1330678,3698,16,1,3,0,16,3,6,7,46,1,0,0,2,7,9,20,15,48,1,0/0,20,32
1330679,3691,19,1,1,2,12,6,4,2,47,4,0,0,3,9,10,13,12,51,3,0/0,18,31
1330679,3701,12,0,8,1,8,2,4,2,53,2,0,0,3,7,6,21,18,35,2,0/0,23,42
1330680,3694,12,0,3,3,6,2,4,NaN,55,2,0,0,3,5,6,12,18,46,0,0/0,27,27
1330680,3690,12,1,3,0,4,1,3,NaN,45,0,0,0,3,7,4,15,15,35,1,0/1,29,36
47656,3701,10,2,3,0,8,2,3,3,41,1,0,1,0,7,5,19,22,0,0,0,0,0
47656,3691,18,1,3,1,13,3,3,7,59,2,0,0,0,6,6,10,14,0,0,0,0,0
47657,3690,6,0,11,0,19,5,10,4,64,1,0,0,0,6,15,14,19,0,1,0,0,0
47657,3700,12,1,2,2,6,4,1,1,36,2,0,0,0,17,5,6,10,0,1,0,0,0
47658,3694,11,2,5,1,7,5,1,1,46,2,0,0,0,7,6,8,15,0,2,0,0,0
47658,3699,7,3,7,1,8,3,3,2,54,1,0,0,0,3,6,12,23,0,1,1,0,0
47659,3698,10,2,1,1,6,1,4,1,52,0,0,1,0,7,5,14,25,0,0,0,0,0
47659,3693,14,2,6,0,12,5,4,3,48,1,0,0,0,9,9,11,24,0,1,0,0,0
47660,3692,16,1,3,1,10,4,5,1,47,1,0,0,0,11,9,21,21,0,2,0,0,0
47660,3697,21,2,3,0,11,5,6,0,53,2,0,0,0,6,11,17,26,0,2,0,0,0
47661,3696,13,0,2,2,13,2,9,2,55,2,0,0,0,8,11,18,25,0,1,0,0,0
47661,3695,17,1,4,1,14,5,6,3,45,2,0,0,0,13,11,15,21,0,1,0,0,0
47662,3695,5,2,10,2,18,6,8,4,54,0,0,0,0,6,14,17,20,0,0,0,0,0
47662,3693,16,1,3,1,8,3,3,2,46,1,0,0,0,16,6,7,19,0,0,0,0,0
